epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4905.4,1.61445,0.95783,1.12668,0.52692,0.46995,0.45821,0.23189,1.63295,1.03849,1.16909,0.000494885,0.000494885,0.000494885
43,5498.25,1.62492,0.95556,1.13211,0.50714,0.47717,0.45216,0.23095,1.632,1.04702,1.17122,0.000486639,0.000486639,0.000486639
44,5595.39,1.61053,0.95318,1.12872,0.55258,0.47351,0.4705,0.239,1.62551,1.0369,1.17062,0.000478392,0.000478392,0.000478392
45,5699.08,1.60225,0.94854,1.12785,0.54198,0.47758,0.47159,0.23919,1.62912,1.03889,1.1744,0.000470145,0.000470145,0.000470145
46,5789.02,1.60298,0.94823,1.12727,0.53823,0.48041,0.47333,0.24269,1.62902,1.02959,1.17595,0.000461898,0.000461898,0.000461898
47,5881.56,1.59798,0.94151,1.12853,0.53065,0.47638,0.45627,0.23262,1.62969,1.02598,1.16847,0.000453652,0.000453652,0.000453652
48,5981.35,1.60109,0.93405,1.1216,0.52905,0.47865,0.47213,0.2434,1.62548,1.01916,1.16998,0.000445405,0.000445405,0.000445405
49,6076.71,1.59707,0.92969,1.11473,0.54726,0.48124,0.47591,0.24222,1.61358,1.02532,1.16362,0.000437158,0.000437158,0.000437158
50,6167.54,1.59263,0.92897,1.12276,0.52818,0.48429,0.47196,0.23885,1.62472,1.02575,1.16487,0.000428912,0.000428912,0.000428912
51,6258.09,1.5866,0.92497,1.11371,0.53605,0.48657,0.46882,0.23705,1.62589,1.01947,1.16902,0.000420665,0.000420665,0.000420665
52,6347.34,1.58898,0.92652,1.11201,0.52082,0.48663,0.46342,0.23678,1.62288,1.01968,1.16639,0.000412418,0.000412418,0.000412418
53,6584.88,1.57752,0.91231,1.10857,0.55675,0.48121,0.47773,0.24459,1.61764,1.01421,1.16509,0.000404172,0.000404172,0.000404172
54,6675.82,1.58164,0.9118,1.11192,0.55511,0.47858,0.47713,0.24689,1.61348,1.01478,1.16258,0.000395925,0.000395925,0.000395925
55,6765.02,1.56286,0.89627,1.11052,0.5378,0.49532,0.49113,0.25395,1.60643,1.00091,1.15964,0.000387678,0.000387678,0.000387678
56,6856.97,1.57451,0.89846,1.10299,0.54305,0.49724,0.48768,0.25452,1.60527,1.00103,1.1574,0.000379431,0.000379431,0.000379431
57,6952.46,1.56655,0.89483,1.10601,0.57698,0.4793,0.49621,0.25764,1.60741,0.99544,1.16233,0.000371185,0.000371185,0.000371185
58,7046.18,1.5668,0.89171,1.10456,0.56658,0.48739,0.49364,0.25453,1.61658,1.00478,1.16361,0.000362938,0.000362938,0.000362938
59,7138.45,1.55282,0.88456,1.10002,0.54976,0.49753,0.48918,0.25392,1.61062,1.00712,1.15933,0.000354691,0.000354691,0.000354691
60,7228.94,1.55519,0.87993,1.10104,0.5896,0.47806,0.49735,0.26031,1.60926,0.99295,1.16371,0.000346445,0.000346445,0.000346445
61,7324.67,1.54382,0.8731,1.09903,0.57341,0.48607,0.49634,0.25736,1.61128,0.99915,1.16398,0.000338198,0.000338198,0.000338198
62,7419.83,1.54887,0.87949,1.10073,0.58589,0.48151,0.49945,0.26064,1.6069,0.9865,1.15972,0.000329951,0.000329951,0.000329951
63,7636.12,1.54693,0.87295,1.09277,0.58604,0.48523,0.49982,0.26084,1.60561,0.99019,1.15835,0.000321705,0.000321705,0.000321705
64,7797.78,1.54691,0.87191,1.09882,0.58291,0.49721,0.50274,0.26194,1.6075,0.98131,1.16249,0.000313458,0.000313458,0.000313458
