epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6227.82,1.5551,0.94908,1.14941,0.48507,0.44855,0.41578,0.21668,1.55444,1.04564,1.17742,0.000494885,0.000494885,0.000494885
43,6311.68,1.56414,0.9475,1.14665,0.52106,0.42513,0.42214,0.21845,1.54665,1.04528,1.16998,0.000486639,0.000486639,0.000486639
44,6404.26,1.55433,0.93343,1.14218,0.49677,0.45453,0.41854,0.22015,1.54065,1.03689,1.17369,0.000478392,0.000478392,0.000478392
45,6479.65,1.55529,0.93713,1.14523,0.52182,0.43953,0.42835,0.22392,1.53618,1.03159,1.16958,0.000470145,0.000470145,0.000470145
46,6557.96,1.53823,0.92704,1.14258,0.49491,0.45942,0.42969,0.2241,1.53935,1.0322,1.1688,0.000461898,0.000461898,0.000461898
47,6639.96,1.54921,0.92048,1.13354,0.52473,0.42932,0.42261,0.21983,1.5434,1.03818,1.17534,0.000453652,0.000453652,0.000453652
48,6770.29,1.53215,0.9132,1.13787,0.50958,0.44638,0.43571,0.22845,1.54515,1.03615,1.17215,0.000445405,0.000445405,0.000445405
49,6852.29,1.52247,0.90623,1.13082,0.52186,0.44187,0.43814,0.22954,1.54429,1.02495,1.17596,0.000437158,0.000437158,0.000437158
50,6946.23,1.52626,0.90521,1.12931,0.54077,0.45138,0.44052,0.22927,1.53147,1.0186,1.16592,0.000428912,0.000428912,0.000428912
51,7035.61,1.52587,0.89727,1.12541,0.51333,0.45749,0.43552,0.2271,1.54163,1.02539,1.16546,0.000420665,0.000420665,0.000420665
52,7112.21,1.52222,0.8974,1.12861,0.53529,0.45044,0.4434,0.23113,1.53793,1.02011,1.17453,0.000412418,0.000412418,0.000412418
53,7381.96,1.50695,0.89329,1.1226,0.55693,0.46787,0.46463,0.24166,1.53662,1.01306,1.16879,0.000404172,0.000404172,0.000404172
54,7489.3,1.49321,0.8759,1.11767,0.55296,0.46856,0.45691,0.24059,1.5353,1.01123,1.16801,0.000395925,0.000395925,0.000395925
55,7613.05,1.50795,0.88237,1.12381,0.52418,0.47064,0.45959,0.24343,1.53445,1.00974,1.17119,0.000387678,0.000387678,0.000387678
56,7693.21,1.49915,0.87147,1.11709,0.55131,0.44231,0.45028,0.23965,1.52745,1.00701,1.16538,0.000379431,0.000379431,0.000379431
57,7815.37,1.49774,0.86894,1.11402,0.5081,0.47493,0.44835,0.23516,1.52724,1.00378,1.16218,0.000371185,0.000371185,0.000371185
58,7904.73,1.48464,0.85451,1.113,0.59896,0.4273,0.46258,0.24477,1.5279,1.00077,1.16316,0.000362938,0.000362938,0.000362938
59,7990.63,1.49505,0.85561,1.10989,0.53609,0.4667,0.45704,0.24164,1.54199,1.00449,1.17021,0.000354691,0.000354691,0.000354691
60,8065.36,1.4841,0.85092,1.10789,0.54559,0.45386,0.45405,0.24187,1.52548,0.99664,1.16667,0.000346445,0.000346445,0.000346445
61,8186.42,1.48466,0.85164,1.10442,0.51592,0.47469,0.46378,0.24828,1.52458,0.99185,1.16056,0.000338198,0.000338198,0.000338198
62,8274.54,1.48131,0.84731,1.10657,0.54207,0.47672,0.46594,0.24983,1.52388,0.98831,1.16257,0.000329951,0.000329951,0.000329951
63,8357.07,1.46652,0.83668,1.09785,0.53883,0.46474,0.46617,0.24917,1.52428,0.98193,1.16794,0.000321705,0.000321705,0.000321705
64,8438.05,1.47132,0.83994,1.10061,0.58542,0.46528,0.47754,0.25587,1.52273,0.98607,1.16566,0.000313458,0.000313458,0.000313458
65,8514.83,1.45782,0.82975,1.09288,0.55263,0.47202,0.47187,0.252,1.52669,0.99105,1.16505,0.000305211,0.000305211,0.000305211
66,8606.94,1.46258,0.82936,1.09592,0.52273,0.47292,0.46003,0.24617,1.52321,0.9864,1.16202,0.000296964,0.000296964,0.000296964
67,8696.54,1.44429,0.82374,1.0954,0.5661,0.48101,0.48003,0.25892,1.51819,0.97799,1.16124,0.000288718,0.000288718,0.000288718
68,8816.55,1.45515,0.82026,1.08971,0.56217,0.48905,0.48185,0.25773,1.52327,0.97911,1.1646,0.000280471,0.000280471,0.000280471
69,8893.78,1.4314,0.81017,1.08887,0.56959,0.48732,0.47901,0.25862,1.52141,0.9754,1.16479,0.000272224,0.000272224,0.000272224
