base_run,method,train_domains,ood_domains,n_seeds,ID_mAP50_mean,OOD_mAP50_mean,ID_mAP50_95_mean,OOD_mAP50_95_mean,PD_50_mean,PD_50_95_mean,H_50_mean,H_50_95_mean,CZ_A_mAP50_mean,CZ_A_mAP50_95_mean,CZ_B_mAP50_mean,CZ_B_mAP50_95_mean,CZ_C_mAP50_mean,CZ_C_mAP50_95_mean,ID_mAP50_std,OOD_mAP50_std,ID_mAP50_95_std,OOD_mAP50_95_std,PD_50_std,PD_50_95_std,H_50_std,H_50_95_std,CZ_A_mAP50_std,CZ_A_mAP50_95_std,CZ_B_mAP50_std,CZ_B_mAP50_95_std,CZ_C_mAP50_std,CZ_C_mAP50_95_std
exp1_baseline_CZA,Single-source,CZ_A,CZ_B+CZ_C,1,0.23815497329554688,0.20547500903946858,0.10246192385080624,0.08246889134292198,13.722142268901074,19.51264602155617,0.22061130779814062,0.09138467546349148,0.23815497329554688,0.10246192385080624,0.22315689707944425,0.09338606301607599,0.18779312099949294,0.07155171966976799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1_baseline_CZB,Single-source,CZ_B,CZ_A+CZ_C,1,0.3498933650035142,0.225408538250714,0.15986441674468893,0.0916253417513281,35.577932937239304,42.685593444063215,0.27418282992960363,0.11648690511857042,0.23310605877034563,0.09858727745043926,0.3498933650035142,0.15986441674468893,0.2177110177310824,0.08466340605221694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp1_baseline_CZC,Single-source,CZ_C,CZ_A+CZ_B,1,0.19854705218300056,0.17165564213021658,0.0792402608772294,0.06558519851543174,13.544099374488923,17.232480320772893,0.18412465527168248,0.07176898677679652,0.1590575601489054,0.06003021725861289,0.18425372411152777,0.07114017977225058,0.19854705218300056,0.0792402608772294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2_multisrc_test_CZA,Multi-source,CZ_B+CZ_C,CZ_A,1,0.3130451199286024,0.249400946200148,0.13667927448780148,0.10653902615582685,20.33067110037365,22.051805911996283,0.277622171494254,0.11974162109578737,0.249400946200148,0.10653902615582685,0.36139055290106964,0.1652901687149982,0.2646996869561352,0.10806838026060475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2_multisrc_test_CZB,Multi-source,CZ_A+CZ_C,CZ_B,1,0.27715841354495957,0.27902991179829234,0.11905002844816523,0.11821879049576037,-0.6752449725034897,0.6982257486538825,0.27809101400277353,0.11863295340930655,0.30310128734912195,0.13645970378817918,0.27902991179829234,0.11821879049576037,0.2512155397407972,0.1016403531081513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp2_multisrc_test_CZC,Multi-source,CZ_A+CZ_B,CZ_C,1,0.3527494654273015,0.25604211922642306,0.16211519766677737,0.10128009633244457,27.41530623830498,37.525847181445265,0.2967147475777499,0.12467225657185056,0.32854501020938076,0.1515390687324673,0.37695392064522226,0.17269132660108744,0.25604211922642306,0.10128009633244457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp3_dgaug_test_CZA,DG-Aug,CZ_B+CZ_C,CZ_A,1,0.3150254967802818,0.28694718305390354,0.13582979832118938,0.12457561231046917,8.913028949514459,8.285505941861189,0.30033149981543383,0.12995951393501914,0.28694718305390354,0.12457561231046917,0.3635023612280245,0.1642326818069772,0.26654863233253906,0.10742691483540157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp3_dgaug_test_CZB,DG-Aug,CZ_A+CZ_C,CZ_B,1,0.28939046508717364,0.2927564138695438,0.12304374942679702,0.1212931827734565,-1.163116684358016,1.422718879663195,0.29106370859117625,0.12216219508006403,0.3210580520413018,0.14261377751532936,0.2927564138695438,0.1212931827734565,0.2577228781330455,0.10347372133826467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp3_dgaug_test_CZC,DG-Aug,CZ_A+CZ_B,CZ_C,1,0.32828357287041277,0.24530486027680928,0.1462464550264692,0.0968852701483546,25.276535121164486,33.752055644139006,0.2807921196468024,0.11655514962755562,0.3154437612871506,0.1406236600835014,0.34112338445367485,0.15186924996943704,0.24530486027680928,0.0968852701483546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
exp4_acsyolo_test_CZA,ACS-YOLO,CZ_B+CZ_C,CZ_A,1,0.3160895050339326,0.27441750584455366,0.13567127537777202,0.11761081890764738,13.18360734087183,13.311923559232355,0.29378311179069344,0.12599714041722737,0.27441750584455366,0.11761081890764738,0.3694274749048726,0.16526708103642335,0.26275153516299266,0.10607546971912066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
