epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,517.207,1.50057,0.89029,1.17171,0.50998,0.42225,0.39628,0.17988,1.67254,1.06229,1.30034,0.000494885,0.000494885,0.000494885
43,529.166,1.50115,0.88753,1.16701,0.4757,0.4081,0.37895,0.17837,1.64697,1.05951,1.28292,0.000486639,0.000486639,0.000486639
44,541.005,1.50314,0.88872,1.16718,0.58787,0.39883,0.43339,0.20328,1.65082,1.07366,1.2858,0.000478392,0.000478392,0.000478392
45,552.971,1.48278,0.8712,1.1529,0.56419,0.38851,0.4194,0.20052,1.65292,1.05728,1.29698,0.000470145,0.000470145,0.000470145
46,565.038,1.48362,0.87276,1.15891,0.49213,0.45958,0.43533,0.20371,1.6573,1.06196,1.29537,0.000461898,0.000461898,0.000461898
47,576.852,1.43201,0.8386,1.14089,0.55992,0.40808,0.41852,0.19438,1.65726,1.05379,1.29351,0.000453652,0.000453652,0.000453652
48,588.626,1.4548,0.85361,1.1494,0.48718,0.42688,0.4113,0.19593,1.64775,1.03706,1.2902,0.000445405,0.000445405,0.000445405
49,600.573,1.4504,0.84034,1.13907,0.45869,0.46104,0.4283,0.19782,1.65693,1.04387,1.29463,0.000437158,0.000437158,0.000437158
50,612.493,1.44054,0.83481,1.13013,0.5977,0.44061,0.46269,0.21565,1.63152,1.03805,1.27127,0.000428912,0.000428912,0.000428912
51,624.478,1.4413,0.82464,1.13243,0.54387,0.45195,0.44693,0.20634,1.64672,1.05074,1.28725,0.000420665,0.000420665,0.000420665
52,636.389,1.44514,0.82154,1.1361,0.49222,0.47177,0.44448,0.21768,1.63939,1.01877,1.28068,0.000412418,0.000412418,0.000412418
53,648.488,1.44052,0.82669,1.13064,0.62359,0.39343,0.44806,0.21302,1.64434,1.01849,1.28182,0.000404172,0.000404172,0.000404172
54,660.363,1.4124,0.80429,1.12221,0.49138,0.42969,0.44171,0.20572,1.64882,1.02517,1.29873,0.000395925,0.000395925,0.000395925
55,672.174,1.3977,0.79571,1.12015,0.55166,0.40143,0.42642,0.20627,1.66659,1.04327,1.30765,0.000387678,0.000387678,0.000387678
56,683.911,1.4072,0.80284,1.12828,0.57893,0.45388,0.44322,0.21809,1.62083,1.02553,1.28205,0.000379431,0.000379431,0.000379431
57,695.946,1.39104,0.79515,1.10678,0.5694,0.45046,0.43968,0.21352,1.63211,1.03431,1.28422,0.000371185,0.000371185,0.000371185
58,707.795,1.39806,0.7765,1.11047,0.58528,0.41956,0.44486,0.21613,1.6353,1.0337,1.28216,0.000362938,0.000362938,0.000362938
59,724.637,1.35839,0.76969,1.10437,0.63491,0.40658,0.47086,0.22866,1.62736,1.0053,1.27891,0.000354691,0.000354691,0.000354691
60,746.157,1.39847,0.77959,1.12229,0.52341,0.43934,0.46426,0.22508,1.63185,1.01969,1.28039,0.000346445,0.000346445,0.000346445
61,762.968,1.36172,0.76642,1.0985,0.54337,0.47346,0.47203,0.23605,1.64335,1.01572,1.29091,0.000338198,0.000338198,0.000338198
62,785.082,1.39907,0.77614,1.10644,0.58918,0.45203,0.49252,0.23154,1.6314,1.00241,1.2857,0.000329951,0.000329951,0.000329951
63,800.413,1.36019,0.75926,1.09849,0.55909,0.47132,0.47157,0.22479,1.62482,1.004,1.28438,0.000321705,0.000321705,0.000321705
64,815.642,1.35839,0.76301,1.09916,0.4971,0.52176,0.4685,0.22661,1.6139,0.99936,1.28291,0.000313458,0.000313458,0.000313458
65,830.828,1.34744,0.74725,1.09636,0.5948,0.44101,0.46185,0.22115,1.63102,1.01712,1.27922,0.000305211,0.000305211,0.000305211
66,843.764,1.37937,0.76112,1.09478,0.55154,0.47298,0.46322,0.22196,1.62146,0.99698,1.28496,0.000296964,0.000296964,0.000296964
67,855.606,1.34597,0.74694,1.08679,0.59794,0.42586,0.45435,0.21973,1.62962,0.98026,1.29546,0.000288718,0.000288718,0.000288718
68,867.478,1.33191,0.73426,1.09279,0.47104,0.48524,0.4446,0.22037,1.62421,0.98414,1.28649,0.000280471,0.000280471,0.000280471
69,879.291,1.35565,0.74508,1.09556,0.62969,0.43702,0.47113,0.23334,1.62069,0.99114,1.2831,0.000272224,0.000272224,0.000272224
70,891.237,1.33926,0.73242,1.08249,0.63677,0.44979,0.47209,0.22761,1.61961,0.99703,1.29037,0.000263978,0.000263978,0.000263978
71,903.003,1.3166,0.72371,1.08322,0.56783,0.45118,0.4707,0.22949,1.62102,0.98721,1.28801,0.000255731,0.000255731,0.000255731
72,914.824,1.31472,0.72909,1.07271,0.58272,0.47738,0.49278,0.24371,1.60807,0.98781,1.27613,0.000247484,0.000247484,0.000247484
73,926.85,1.31795,0.71434,1.08265,0.57552,0.49605,0.48185,0.24665,1.60385,0.98011,1.2798,0.000239238,0.000239238,0.000239238
74,938.933,1.30024,0.70646,1.07684,0.60595,0.49353,0.49701,0.24609,1.60975,0.98259,1.28473,0.000230991,0.000230991,0.000230991
75,950.717,1.31733,0.71579,1.07921,0.51428,0.51895,0.49939,0.24458,1.62145,0.99744,1.28787,0.000222744,0.000222744,0.000222744
76,962.649,1.31644,0.71475,1.07636,0.55299,0.4845,0.48691,0.23865,1.6103,0.98522,1.27875,0.000214497,0.000214497,0.000214497
77,974.689,1.26811,0.68738,1.04638,0.59864,0.47412,0.48019,0.23525,1.61717,0.98432,1.28387,0.000206251,0.000206251,0.000206251
78,986.833,1.3057,0.70967,1.07734,0.58035,0.50966,0.48956,0.24656,1.59586,0.97407,1.27553,0.000198004,0.000198004,0.000198004
79,999.053,1.28834,0.69281,1.06235,0.50178,0.55839,0.4853,0.23693,1.60296,0.96978,1.28433,0.000189757,0.000189757,0.000189757
80,1010.58,1.2643,0.69108,1.06556,0.61024,0.4655,0.47926,0.23374,1.60334,0.98182,1.2842,0.000181511,0.000181511,0.000181511
81,1022.37,1.28518,0.68883,1.06471,0.59834,0.47124,0.49539,0.24542,1.60066,0.97907,1.27971,0.000173264,0.000173264,0.000173264
82,1034.24,1.26,0.67836,1.05447,0.59638,0.50668,0.51669,0.24874,1.6023,0.96818,1.28277,0.000165017,0.000165017,0.000165017
83,1046.2,1.26759,0.68916,1.05305,0.62658,0.47625,0.49285,0.23949,1.58508,0.96716,1.27218,0.000156771,0.000156771,0.000156771
84,1058.05,1.24494,0.67284,1.05406,0.61403,0.45071,0.49383,0.24225,1.60068,0.96512,1.2841,0.000148524,0.000148524,0.000148524
85,1069.98,1.24935,0.6771,1.04733,0.6279,0.41245,0.48438,0.25047,1.59011,0.97015,1.27524,0.000140277,0.000140277,0.000140277
86,1081.88,1.24912,0.66369,1.04643,0.57688,0.47748,0.48196,0.24858,1.59193,0.97026,1.27564,0.000132031,0.000132031,0.000132031
87,1093.68,1.23476,0.67283,1.04778,0.65602,0.45573,0.50345,0.25821,1.58688,0.9558,1.27267,0.000123784,0.000123784,0.000123784
88,1105.73,1.24927,0.66491,1.04785,0.57236,0.46958,0.48717,0.24921,1.59589,0.96976,1.27691,0.000115537,0.000115537,0.000115537
89,1117.63,1.23177,0.66399,1.04082,0.56383,0.4817,0.48142,0.25295,1.59785,0.96278,1.28297,0.00010729,0.00010729,0.00010729
90,1129.54,1.20879,0.6481,1.02998,0.54924,0.48059,0.48296,0.24596,1.59271,0.95864,1.2841,9.90437e-05,9.90437e-05,9.90437e-05
91,1156.77,1.25024,0.67606,1.05203,0.62162,0.46092,0.48201,0.24159,1.59736,0.96068,1.29232,9.0797e-05,9.0797e-05,9.0797e-05
92,1168.08,1.21834,0.644,1.04637,0.63856,0.46884,0.49705,0.24603,1.60137,0.96414,1.28753,8.25503e-05,8.25503e-05,8.25503e-05
93,1179.65,1.20033,0.63271,1.03056,0.63767,0.49449,0.51035,0.24648,1.60448,0.96275,1.29142,7.43036e-05,7.43036e-05,7.43036e-05
94,1191.04,1.21764,0.63948,1.05016,0.5381,0.52479,0.50045,0.24626,1.60781,0.9666,1.2926,6.60569e-05,6.60569e-05,6.60569e-05
95,1202.36,1.17623,0.62109,1.03372,0.58281,0.51828,0.50805,0.25306,1.60444,0.96282,1.28722,5.78102e-05,5.78102e-05,5.78102e-05
96,1213.62,1.18578,0.61834,1.02961,0.55729,0.50639,0.50175,0.24486,1.60015,0.95605,1.28692,4.95635e-05,4.95635e-05,4.95635e-05
97,1224.99,1.18794,0.61757,1.03978,0.67301,0.43759,0.49223,0.24345,1.60667,0.96251,1.29539,4.13168e-05,4.13168e-05,4.13168e-05
98,1236.42,1.18765,0.6147,1.03243,0.6163,0.45458,0.50004,0.25009,1.60215,0.96064,1.2923,3.30701e-05,3.30701e-05,3.30701e-05
99,1248.04,1.19079,0.62149,1.03702,0.59871,0.48116,0.50367,0.25283,1.60177,0.95857,1.29298,2.48234e-05,2.48234e-05,2.48234e-05
100,1259.55,1.19404,0.62171,1.03735,0.59206,0.47767,0.49861,0.25187,1.59906,0.95786,1.29024,1.65767e-05,1.65767e-05,1.65767e-05
